flow_key,n_pkts,duration,byte_rate,pkt_rate,iat_max,iat_min,iat_mean,iat_std,iat_var,pkt_len_max,pkt_len_min,pkt_len_avg,pkt_len_std,pkt_len_var,payload_len_max,payload_len_min,payload_len_avg,payload_len_std,Label
"('10.8.8.130', '33104', '157.56.192.53', '443', 'TLS')",166,979.096648,120.0514783,0.169544039,30.68152595,0.254873037,5.933919079,5.617360762,31.55474193,1337,537,708.0843373,137.1845301,18819.5953,1285,485,656.0843373,137.1845301,VPN-Chat
"('157.56.192.53', '443', '10.8.8.130', '33104', 'TLS')",311,978.7171919,131.4690301,0.317762887,28.44486403,4.91E-05,3.157152232,3.933682398,15.47385721,793,153,413.733119,210.9311834,44491.96414,741,101,361.733119,210.9311834,VPN-Chat
"('10.8.8.178', '54269', '134.170.25.26', '443', 'TLS')",197,955.189373,156.196252,0.206241826,35.7236259,0.031090975,4.873415168,6.292916622,39.60079961,1360,194,757.3451777,78.91325727,6227.302172,1308,142,705.3451777,78.91325727,VPN-Chat
"('134.170.25.26', '443', '10.8.8.178', '54269', 'TLS')",233,955.2809951,59.51023865,0.243907291,35.95020795,9.49E-05,4.117590496,5.781532122,33.42611368,873,153,243.9871245,212.0053542,44946.27022,821,101,191.9871245,212.0053542,VPN-Chat
"('10.8.8.178', '48723', '137.116.224.167', '443', 'TLS')",5,0.656759977,1440.404459,7.613131391,0.202782154,0.141235828,0.164189994,0.023648285,0.000559241,319,89,189.2,103.9084212,10796.96,267,37,137.2,103.9084212,VPN-Chat
"('137.116.224.167', '443', '10.8.8.178', '48723', 'TLS')",5,0.515869856,7288.660031,9.692367063,0.366852999,0.000148773,0.128967464,0.150119033,0.022535724,1360,111,752,515.0964958,265324.4,1308,59,700,515.0964958,VPN-Chat
"('10.8.8.130', '34342', '178.237.18.202', '443', 'TLS')",677,1010.296157,66.55573174,0.67010054,18.84723687,0.173012018,1.494520942,1.932065753,3.732878074,665,41,99.32200886,41.67082445,1736.45761,625,1,59.32200886,41.67082445,VPN-Chat
"('178.237.18.202', '443', '10.8.8.130', '34342', 'TLS')",1334,1335.312212,168.1674128,0.999017299,23.10746884,0.000755072,1.001734593,1.427738764,2.038437978,863,78,168.3328336,97.10848129,9430.057138,823,38,128.3328336,97.10848129,VPN-Chat
"('178.237.17.103', '443', '10.8.8.178', '51318', 'TLS')",1286,1335.127547,170.1942264,0.963203855,18.8762908,6.79E-05,1.039009764,1.573123147,2.474716436,1360,57,176.6959565,111.7406466,12485.9721,1320,17,136.6959565,111.7406466,VPN-Chat
"('10.8.8.178', '51318', '178.237.17.103', '443', 'TLS')",886,1330.703223,63.6032126,0.665813372,38.86578608,0.179090023,1.503619461,2.255466769,5.087130347,409,41,95.52708804,29.25328887,855.7549096,369,1,55.52708804,29.25328887,VPN-Chat
