flow_key,n_pkts,duration,byte_rate,pkt_rate,iat_max,iat_min,iat_mean,iat_std,iat_var,pkt_len_max,pkt_len_min,pkt_len_avg,pkt_len_std,pkt_len_var,payload_len_max,payload_len_min,payload_len_avg,payload_len_std,Label
"('74.125.133.16', '993', '10.8.8.234', '51055', 'TLS')",2186,1215.451009,1052.688254,1.798509347,60.07227993,1.79E-05,0.556270485,2.667635262,7.116277889,1360,63,585.3115279,533.8770126,285024.6646,1308,11,533.3115279,533.8770126,VPN-Email
"('10.8.8.234', '51055', '74.125.133.16', '993', 'TLS')",770,1215.001407,59.40075425,0.633744122,60.39211917,0.315022945,1.579975822,4.406523891,19.4174528,108,89,93.72987013,2.443069441,5.968588295,56,37,41.72987013,2.443069441,VPN-Email
"('10.8.8.234', '37815', '173.194.67.16', '465', 'TLS')",11,3.614217043,584.9122991,3.043536088,1.029550076,0.000496864,0.361421704,0.307346764,0.094462033,892,83,192.1818182,225.739922,50958.5124,840,31,140.1818182,225.739922,VPN-Email
"('173.194.67.16', '465', '10.8.8.234', '37815', 'TLS')",11,3.452008009,1088.352052,3.186551124,1.049958944,7.99E-05,0.345200801,0.327847133,0.107483743,1360,101,341.5454545,396.5077928,157218.4298,1308,49,289.5454545,396.5077928,VPN-Email
"('10.8.8.234', '51039', '74.125.133.16', '993', 'TLS')",186,278.6410029,64.55259568,0.667525591,49.48630404,0.000970125,1.506167583,4.400673754,19.36592949,591,83,96.70430108,38.34119157,1470.046971,539,31,44.70430108,38.34119157,VPN-Email
"('74.125.133.16', '993', '10.8.8.234', '51039', 'TLS')",222,278.6057301,76.50955347,0.796824961,49.48463607,1.79E-05,1.260659412,4.067298047,16.54291341,211,82,96.01801802,14.17330442,200.8825582,159,30,44.01801802,14.17330442,VPN-Email
"('10.8.8.234', '37817', '173.194.67.16', '465', 'TLS')",10,3.06881094,747.194938,3.258591095,1.007466078,0.145461082,0.340978993,0.285594785,0.081564381,895,83,229.3,262.1576053,68726.61,843,31,177.3,262.1576053,VPN-Email
"('173.194.67.16', '465', '10.8.8.234', '37817', 'TLS')",9,2.921813965,461.699484,3.080278248,0.928636074,0.157045841,0.365226746,0.265133317,0.070295676,288,101,149.8888889,53.73276353,2887.209877,236,49,97.88888889,53.73276353,VPN-Email
"('74.125.133.16', '993', '10.8.8.234', '51040', 'TLS')",677,1162.736473,80.78958749,0.582247152,125.1571221,1.72E-05,1.720024368,7.378325596,54.43968859,853,82,138.7548006,100.7257512,10145.67695,801,30,86.75480059,100.7257512,VPN-Email
"('10.8.8.234', '51040', '74.125.133.16', '993', 'TLS')",372,1162.415097,29.76217368,0.320023373,125.4816911,0.314248085,3.133194332,9.823584533,96.50281308,249,89,93,8.410822521,70.74193548,197,37,41,8.410822521,VPN-Email
"('10.8.8.234', '38620', '63.245.216.134', '443', 'TLS')",4,0.873044014,1541.732122,4.581670495,0.295908928,0.2822721,0.291014671,0.006196661,3.84E-05,637,93,336.5,201.3510616,40542.25,597,53,296.5,201.3510616,VPN-Email
"('10.8.8.234', '38621', '63.245.216.134', '443', 'TLS')",3,5.755032063,123.1965335,0.521282934,5.477585077,0.277446985,2.877516031,2.600069046,6.760359044,382,93,236.3333333,117.9952918,13922.88889,342,53,196.3333333,117.9952918,VPN-Email
"('63.245.216.134', '443', '10.8.8.234', '38620', 'TLS')",5,0.595679998,3881.278549,8.393768489,0.310114861,0.000264168,0.14892,0.148215569,0.021967855,1252,109,462.4,421.794073,177910.24,1212,69,422.4,421.794073,VPN-Email
