flow_key,n_pkts,duration,byte_rate,pkt_rate,iat_max,iat_min,iat_mean,iat_std,iat_var,pkt_len_max,pkt_len_min,pkt_len_avg,pkt_len_std,pkt_len_var,payload_len_max,payload_len_min,payload_len_avg,payload_len_std,Label
"('10.8.8.138', '59118', '173.223.153.85', '443', 'TLS')",2,5.96E-06,324303585.3,335544.32,5.96E-06,5.96E-06,5.96E-06,0,0,1360,573,966.5,393.5,154842.25,1308,521,914.5,393.5,VPN-Streaming
"('173.223.153.85', '443', '10.8.8.138', '59118', 'TLS')",2,304.952512,4.728605088,0.006558398,304.952512,304.952512,304.952512,0,0,1337,105,721,616,379456,1285,53,669,616,VPN-Streaming
"('10.8.8.138', '35936', '107.22.243.234', '443', 'TLS')",65,429.0131538,164.5474023,0.151510506,60.79219794,3.10E-06,6.703330528,17.48895356,305.8634967,1360,178,1086.046154,347.3031675,120619.4902,1308,126,1034.046154,347.3031675,VPN-Streaming
"('107.22.243.234', '443', '10.8.8.138', '35936', 'TLS')",50,428.743468,112.3982138,0.116619852,60.59921002,1.31E-05,8.749866695,19.60301367,384.2781451,1360,83,963.8,508.3479517,258417.64,1308,31,911.8,508.3479517,VPN-Streaming
"('108.160.163.107', '443', '10.8.8.138', '36320', 'TLS')",42,1743.462033,7.925609929,0.02409,53.875664,31.16827393,42.52346422,7.150898379,51.13534763,329,329,329,0,0,277,277,277,0,VPN-Streaming
"('10.8.8.138', '36320', '108.160.163.107', '443', 'TLS')",42,1743.460711,15.36943152,0.024090018,53.87535501,31.16821289,42.52343198,7.151070175,51.13780465,638,638,638,0,0,586,586,586,0,VPN-Streaming
"('10.8.8.138', '57042', '74.125.226.63', '443', 'TLS')",6,0.415939093,2308.030231,14.42518894,0.209681988,5.39E-05,0.083187819,0.101341266,0.010270052,314,90,160,89.80163324,8064.333333,262,38,108,89.80163324,VPN-Streaming
"('74.125.226.63', '443', '10.8.8.138', '57042', 'TLS')",7,240.21736,14.34117834,0.029140275,240.0070381,4.05E-06,40.03622667,89.42969808,7997.670898,1360,90,492.1428571,550.5836977,303142.4082,1308,38,440.1428571,550.5836977,VPN-Streaming
"('10.8.8.138', '58187', '74.125.226.33', '443', 'TLS')",6,0.439625978,1874.320537,13.64796507,0.221308947,3.29E-05,0.087925196,0.107581098,0.011573693,255,90,137.3333333,60.4308604,3651.888889,203,38,85.33333333,60.4308604,VPN-Streaming
"('74.125.226.33', '443', '10.8.8.138', '58187', 'TLS')",7,240.222589,14.18684235,0.029139641,240.0014281,5.01E-06,40.03709817,89.42680337,7997.153161,1360,90,486.8571429,550.9302337,303524.1224,1308,38,434.8571429,550.9302337,VPN-Streaming
"('10.8.8.138', '55375', '173.194.204.188', '5228', 'TLS')",2,900.216279,0.188843508,0.002221688,900.216279,900.216279,900.216279,0,0,85,85,85,0,0,33,33,33,0,VPN-Streaming
"('173.194.204.188', '5228', '10.8.8.138', '55375', 'TLS')",2,900.2184479,0.188843053,0.002221683,900.2184479,900.2184479,900.2184479,0,0,85,85,85,0,0,33,33,33,0,VPN-Streaming
"('10.8.8.138', '42220', '74.125.226.34', '443', 'TLS')",6,0.424360991,2271.650839,14.13890563,0.211838961,3.60E-05,0.084872198,0.103341252,0.010679414,314,90,160.6666667,90.51641963,8193.222222,262,38,108.6666667,90.51641963,VPN-Streaming
"('74.125.226.34', '443', '10.8.8.138', '42220', 'TLS')",7,240.2152619,14.40791052,0.02914053,239.9984779,5.01E-06,40.03587699,89.42602852,7997.014576,1360,90,494.4285714,549.9386608,302432.5306,1308,38,442.4285714,549.9386608,VPN-Streaming
"('10.8.8.138', '44471', '50.16.198.195', '443', 'TLS')",26,244.06422,107.4676165,0.106529339,60.61395502,5.96E-06,9.762568798,21.31558434,454.3541356,1360,178,1008.807692,382.0611126,145970.6938,1308,126,956.8076923,382.0611126,VPN-Streaming
"('50.16.198.195', '443', '10.8.8.138', '44471', 'TLS')",14,243.7105961,41.23743555,0.057445184,61.03908086,0.000136137,18.74696893,26.59759232,707.4319175,1360,83,717.8571429,566.8610131,321331.4082,1308,31,665.8571429,566.8610131,VPN-Streaming
"('10.8.8.138', '38170', '74.125.226.56', '443', 'TLS')",6,0.407500029,2942.331082,14.72392535,0.204457998,1.91E-05,0.081500006,0.099114536,0.009823691,569,90,199.8333333,173.0350799,29941.13889,517,38,147.8333333,173.0350799,VPN-Streaming
"('74.125.226.56', '443', '10.8.8.138', '38170', 'TLS')",5,240.2031758,2.535353656,0.020815711,239.9942598,0.000185013,60.05079395,103.8904414,10793.22381,202,90,121.8,41.11642008,1690.56,150,38,69.8,41.11642008,VPN-Streaming
"('10.8.8.138', '55467', '50.19.232.176', '443', 'TLS')",14,124.695061,107.9593682,0.112273894,63.20793009,6.91E-06,9.591927767,22.26204408,495.5986067,1360,178,961.5714286,411.1969834,169082.9592,1308,126,909.5714286,411.1969834,VPN-Streaming
"('50.19.232.176', '443', '10.8.8.138', '55467', 'TLS')",8,121.6511919,44.58649285,0.065761789,60.85134792,0.000111818,17.37874171,27.23435672,741.7101861,1360,83,678,546.2433066,298381.75,1308,31,626,546.2433066,VPN-Streaming
"('10.8.8.138', '44914', '74.125.226.36', '443', 'TLS')",6,0.42355299,1945.447251,14.16587804,0.218338966,9.39E-05,0.084710598,0.10230309,0.010465922,255,90,137.3333333,60.4308604,3651.888889,203,38,85.33333333,60.4308604,VPN-Streaming
"('74.125.226.36', '443', '10.8.8.138', '44914', 'TLS')",7,240.217423,14.18714745,0.029140268,239.998611,3.22E-05,40.03623716,89.42592602,7996.996245,1360,90,486.8571429,550.9302337,303524.1224,1308,38,434.8571429,550.9302337,VPN-Streaming
"('10.8.8.138', '57466', '54.204.30.249', '443', 'TLS')",6,0.666695833,7163.68659,8.999606269,0.225909948,7.15E-06,0.133339167,0.108855815,0.011849588,1360,178,796,477.2703636,227787,1308,126,744,477.2703636,VPN-Streaming
"('54.204.30.249', '443', '10.8.8.138', '57466', 'TLS')",6,61.61850786,62.88694963,0.097373341,60.72197294,0.000290871,12.32370157,24.20038476,585.6586224,1360,83,645.8333333,528.6165645,279435.4722,1308,31,593.8333333,528.6165645,VPN-Streaming
"('10.8.8.138', '42086', '54.243.70.179', '443', 'TLS')",14,68.92820501,191.1554203,0.203109888,40.0635488,8.82E-06,5.302169616,12.43908814,154.7309138,1360,178,941.1428571,434.4084413,188710.6939,1308,126,889.1428571,434.4084413,VPN-Streaming
"('54.243.70.179', '443', '10.8.8.138', '42086', 'TLS')",14,129.5430951,96.35403561,0.108072144,60.42535114,7.87E-06,9.96485347,19.10607851,365.0422361,1360,83,891.5714286,461.5194957,213000.2449,1308,31,839.5714286,461.5194957,VPN-Streaming
