flow_key,n_pkts,duration,byte_rate,pkt_rate,iat_max,iat_min,iat_mean,iat_std,iat_var,pkt_len_max,pkt_len_min,pkt_len_avg,pkt_len_std,pkt_len_var,payload_len_max,payload_len_min,payload_len_avg,payload_len_std,Label
"('10.8.0.10', '35745', '173.252.110.27', '443', 'TLS')",977,4115.960213,250.561217,0.23736867,50.15887403,9.54E-07,4.21717235,9.23763375,85.33387731,1390,54,1055.578301,481.2281204,231580.5038,1338,2,1003.578301,481.2281204,VPN-VoIP
"('173.252.110.27', '443', '10.8.0.10', '35745', 'TLS')",2023,4113.043755,227.6807775,0.491849861,50.013134,1.19E-05,2.034146268,6.71116903,45.03978975,1390,93,462.9070687,521.6810144,272151.0808,1338,41,410.9070687,521.6810144,VPN-VoIP
"('10.8.0.10', '34040', '209.148.205.26', '443', 'TLS')",12,186.4031601,21.29255748,0.064376591,59.00373387,0.002053022,16.94574183,25.79577792,665.4221586,603,79,330.75,243.2461459,59168.6875,551,27,278.75,243.2461459,VPN-VoIP
"('209.148.205.26', '443', '10.8.0.10', '34040', 'TLS')",22,186.396822,74.54526237,0.118027763,59.006078,1.81E-05,8.876039142,20.50168583,420.319122,1390,79,631.5909091,554.5476174,307523.0599,1338,27,579.5909091,554.5476174,VPN-VoIP
"('10.8.0.10', '34049', '209.148.205.26', '443', 'TLS')",12,186.3194311,13.61640053,0.064405521,59.00432515,0.002063036,16.9381301,25.638271,657.3209399,616,79,211.4166667,212.0992136,44986.07639,564,27,159.4166667,212.0992136,VPN-VoIP
"('209.148.205.26', '443', '10.8.0.10', '34049', 'TLS')",35,186.3029411,117.9423141,0.187866063,59.00255299,1.88E-05,5.479498267,16.59665675,275.4490151,1390,79,627.8,567.3218185,321854.0457,1338,27,575.8,567.3218185,VPN-VoIP
"('10.8.0.10', '53275', '24.156.140.33', '443', 'TLS')",6,180.815069,6.885488069,0.033183075,59.00435519,0.004812956,36.16301379,27.78115498,771.7925722,786,83,207.5,258.7481079,66950.58333,734,31,155.5,258.7481079,VPN-VoIP
"('24.156.140.33', '443', '10.8.0.10', '53275', 'TLS')",7,180.8095369,17.67052808,0.038714772,59.00601101,5.29E-05,30.13492282,28.71966583,824.8192055,1390,83,456.4285714,576.6617868,332538.8163,1338,31,404.4285714,576.6617868,VPN-VoIP
"('10.8.0.10', '35769', '173.252.110.27', '443', 'TLS')",4,0.148697853,4626.832101,26.90018663,0.14655304,9.08E-05,0.049565951,0.068584911,0.00470389,260,97,172,67.37581168,4539.5,208,45,120,67.37581168,VPN-VoIP
"('173.252.110.27', '443', '10.8.0.10', '35769', 'TLS')",6,0.14715004,19945.62833,40.77470868,0.145229101,5.32E-05,0.029430008,0.057901541,0.003352588,1390,83,489.1666667,502.591755,252598.4722,1338,31,437.1666667,502.591755,VPN-VoIP
"('10.8.0.10', '51761', '173.252.79.90', '443', 'TLS')",2,0.080651999,3719.684639,24.79789759,0.080651999,0.080651999,0.080651999,0,0,204,96,150,54,2916,152,44,98,54,VPN-VoIP
"('173.252.79.90', '443', '10.8.0.10', '51761', 'TLS')",2,0.080729961,3517.900852,24.77394966,0.080729961,0.080729961,0.080729961,0,0,156,128,142,14,196,104,76,90,14,VPN-VoIP
